Link Score,Domain ID,Range ID
0.8556718,3138,55874
0.037077107,3139,39150
0.7043527,3141,58833
0.89189464,3144,84295
0.9165867,3149,18011
0.92232764,3156,47125
0.17983209,3157,85895
0.9186473,3164,38570
0.7258355,3168,83799
0.68263555,3172,123201
0.93961483,3176,50999
0.84487647,3181,152380
0.9123771,3182,59055
0.73772085,3183,59055
0.97609377,3185,166768
0.14415985,3189,27754
0.9713367,3190,99261
0.6967484,3195,142925
0.17936333,3199,102789
0.5504709,3203,150180
0.90595806,3213,101338
0.92232764,3220,132544
0.96063834,3223,43904
0.6113118,3232,2924
0.49508235,3233,132463
0.14415985,3235,43224
0.91853535,3242,197727
0.887025,3243,25233
0.91363406,3248,51363
0.9983963,3249,29623
0.008495294,3250,22283
0.21708415,3262,150292
0.3447948,3263,179932
0.76167434,3269,197459
0.9302994,3284,29401
0.16259715,3287,110755
0.749131,3292,148950
0.9864676,3298,51495
0.013076138,3304,188060
0.9011815,3307,39324
0.92232764,3327,55811
0.8787319,3331,47504
0.99023765,3336,128805
0.8203796,3337,46597
0.7258666,3339,29817
0.9885808,3347,32793
0.75871897,3348,152708
0.33114398,3359,60316
0.92232764,3360,52069
0.14415985,3361,20511
0.9180708,3373,51135
0.9042684,3389,48586
0.9206495,3390,103555
0.99371207,3398,24923
0.99990904,3407,29329
0.92232764,3414,29971
0.9084919,3418,99803
0.0006583189,3429,29115
0.9772882,3432,169564
0.017965477,3436,172337
0.9992428,3440,165697
0.92232764,3445,140723
0.35702407,3449,46229
0.12359567,3451,22961
0.8043472,3459,59325
0.0005309479,3466,55523
0.17633645,3469,49080
0.33890617,3470,147984
0.92232764,3471,60045
0.25200173,3473,150180
0.16633733,3496,152384
0.13266242,3508,139722
0.79487747,3510,113120
0.9173495,3518,105766
0.8287008,3523,35076
0.9981191,3534,29684
0.9819247,3539,19769
0.7353833,3540,113484
0.9998427,3545,164147
0.14415985,3546,43364
0.9083238,3547,100201
0.12307524,3550,75173
0.18774337,3557,7845
0.8353235,3571,88269
0.815059,3575,100762
0.99797773,3589,2902
0.101329714,3595,42449
0.03838623,3602,37077
0.84820133,3605,61315
0.12194521,3606,29097
0.99635077,3608,4736
0.8159488,3616,35285
0.8796542,3632,130476
0.8733838,3636,146820
0.97769773,3655,37611
0.92232764,3657,194157
0.7995123,3660,106064
0.9111029,3662,84226
0.5504392,3664,125852
0.92232764,3668,52999
0.99990904,3673,99277
0.8822132,3675,80590
0.61362404,3683,60139
0.8514065,3690,95200
0.7598245,3693,181862
0.92232764,3697,37538
0.91479576,3702,49014
0.5844117,3703,155728
0.99023765,3705,57705
0.6969488,3706,104665
0.8405463,3707,24109
0.908606,3708,156890
0.6556644,3714,153754
0.104266234,3728,25376
0.14415985,3730,50999
0.92232764,3733,27006
0.9555912,3738,5427
0.9904962,3746,144736
0.92232764,3747,100956
0.847142,3752,104889
0.8528964,3755,53047
0.92232764,3760,56632
0.66980374,3773,114645
0.31366807,3778,156482
0.5862277,3781,148808
0.8962324,3783,20377
0.058935676,3784,84025
0.89283144,3790,192830
0.41209352,3792,27655
0.9174963,3798,184934
0.90857583,3809,51069
0.6568212,3812,58135
0.2301582,3817,156885
0.99241924,3822,29665
0.8155737,3823,60762
0.92232764,3825,38609
0.91546273,3831,143836
0.79134905,3834,155728
0.008592698,3835,150367
0.9752843,3843,129
0.61233705,3844,150180
0.09332443,3849,111145
0.6642356,3852,18137
0.14415985,3857,101647
0.106216095,3863,20328
0.13624652,3874,18429
0.92232764,3875,52042
0.92232764,3877,135971
0.41670948,3880,89310
0.84755427,3887,51682
0.87149143,3905,27922
0.6250232,3909,96756
0.018790007,3910,21431
0.0027762982,3918,32580
0.92232764,3919,123606
0.9158487,3923,46492
0.92232764,3926,47403
0.92232764,3927,46856
0.8052012,3934,126639
0.92232764,3935,135599
0.8731028,3936,140282
0.85964537,3939,112955
0.13900751,3944,191812
0.8973586,3948,126745
0.6292265,3949,154374
0.9063638,3959,49061
0.834833,3961,115326
0.85998863,3972,112999
0.92232764,3973,147984
0.82791454,3974,45442
0.7106415,3981,150367
0.7919732,3984,123606
0.9080468,3986,53030
0.6703874,3999,47454
0.92232764,4007,138545
0.9992781,4012,34941
0.01346441,4015,31270
0.9992306,4020,29291
0.99568254,4021,114853
0.9412738,4023,39605
0.39357913,4032,152038
0.071039714,4035,102819
